date,strategy,000012,000852,000905,399300,H11001
2018-01,equal_weight,0.2,0.2,0.2,0.2,0.2
2018-01,minimum_variance,1.0,6.5052130349130266e-18,0.0,0.0,2.211772431870429e-17
2018-01,max_sharpe,0.9986748788331343,0.0,0.0,0.0013251211668657166,0.0
2018-02,equal_weight,0.2,0.2,0.2,0.2,0.2
2018-02,minimum_variance,1.0,1.3877787807814457e-17,4.163336342344337e-17,2.0816681711721685e-17,0.0
2018-02,max_sharpe,0.9960159976117232,0.0,8.440254402771263e-15,0.0039840023882683605,0.0
2018-03,equal_weight,0.2,0.2,0.2,0.2,0.2
2018-03,minimum_variance,0.9993111395957939,1.3877787807814457e-17,0.0,0.0006888604042062305,0.0
2018-03,max_sharpe,0.9984115582002511,0.0,0.0,0.0015884417997488983,0.0
2018-04,equal_weight,0.2,0.2,0.2,0.2,0.2
2018-04,minimum_variance,0.9987337797827098,0.0,1.733609725426501e-17,0.0012662202172901806,0.0
2018-04,max_sharpe,1.0,0.0,0.0,0.0,0.0
2018-05,equal_weight,0.2,0.2,0.2,0.2,0.2
2018-05,minimum_variance,0.9963825639634535,0.0,2.940898392866931e-17,0.003617436036546343,5.965822454101488e-17
2018-05,max_sharpe,0.9999997776331657,6.762226320566889e-09,5.999115273991329e-09,5.408824596542239e-09,2.0419666812987458e-07
2018-06,equal_weight,0.2,0.2,0.2,0.2,0.2
2018-06,minimum_variance,0.99660183981629,1.656118818471608e-17,0.0,0.003398160183710105,0.0
2018-06,max_sharpe,1.0,0.0,0.0,0.0,0.0
2018-07,equal_weight,0.2,0.2,0.2,0.2,0.2
2018-07,minimum_variance,0.9967913103070754,0.0,0.0,0.003208689692924583,1.45364406275994e-16
2018-07,max_sharpe,1.0,0.0,0.0,0.0,0.0
2018-08,equal_weight,0.2,0.2,0.2,0.2,0.2
2018-08,minimum_variance,0.9981384536471951,1.9461428996114805e-17,0.0,0.0018615463528048404,0.0
2018-08,max_sharpe,1.0,0.0,0.0,0.0,0.0
2018-09,equal_weight,0.2,0.2,0.2,0.2,0.2
2018-09,minimum_variance,1.0,0.0,0.0,0.0,0.0
2018-09,max_sharpe,1.0,0.0,0.0,0.0,0.0
2018-10,equal_weight,0.2,0.2,0.2,0.2,0.2
2018-10,minimum_variance,1.0,2.992397996059992e-17,1.3877787807814457e-17,1.1102230246251565e-16,0.0
2018-10,max_sharpe,1.0,0.0,0.0,0.0,0.0
2018-11,equal_weight,0.2,0.2,0.2,0.2,0.2
2018-11,minimum_variance,0.9949203568585191,2.710505431213761e-19,5.8817967857338616e-18,0.005079643141480992,0.0
2018-11,max_sharpe,1.0,0.0,0.0,0.0,0.0
2018-12,equal_weight,0.2,0.2,0.2,0.2,0.2
2018-12,minimum_variance,0.9951241149598131,0.0,0.0,0.004875885040186499,3.1555704230190607e-16
2018-12,max_sharpe,0.9999999886867575,3.5768260575608224e-10,3.205748444479184e-10,1.8015307579055673e-09,8.833454301360177e-09
2019-01,equal_weight,0.2,0.2,0.2,0.2,0.2
2019-01,minimum_variance,0.990291866688477,7.209944447028604e-18,8.944667923005412e-19,0.009708133311522947,1.6764476092057112e-16
