date,strategy,HSREIT,GOLD,HSI,SPX,000012,000852,000905,399300,H11001
2018-01,equal_weight,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2018-01,minimum_variance,0.0,3.2653724026336156e-17,0.0,0.022669036295744485,0.9773309637042554,0.0,1.719363404861965e-17,9.080704887427532e-18,1.6007974418961757e-16
2018-01,max_sharpe,0.0,0.008426701922270356,0.0,0.0570490209863091,0.9345242336942119,1.4860701310145486e-09,1.5662157797708892e-09,1.543939874307741e-09,3.880098271050188e-08
2018-02,equal_weight,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2018-02,minimum_variance,0.0,0.0,7.008348785787561e-17,0.015027852068863902,0.9849721479311361,0.0,0.0,5.077027479031565e-18,0.0
2018-02,max_sharpe,0.0,0.008018595149715972,0.0,0.07005401887134217,0.9219273857601403,3.1996365583281434e-11,3.151780495397466e-11,2.4851874123087712e-11,1.3043551481010768e-10
2018-03,equal_weight,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2018-03,minimum_variance,0.0,0.0,2.703834800453697e-17,0.023318472235603512,0.9766815277643965,0.0,0.0,1.5893723457943394e-18,8.28476854954966e-17
2018-03,max_sharpe,0.0,0.0025439561919033383,0.0,0.05508299012604264,0.9423730536724855,5.130661613057632e-12,3.508079208841332e-12,9.298292402215059e-13,0.0
2018-04,equal_weight,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2018-04,minimum_variance,0.0,1.091523952701604e-17,3.806159104630531e-17,0.02604941856156985,0.9739505814384303,3.1020520318486316e-17,0.0,0.0,0.0
2018-04,max_sharpe,0.0,0.008384951177678436,0.0,0.054960607782284364,0.9366544410400371,0.0,0.0,0.0,0.0
