date,equal_weight,minimum_variance,max_sharpe
2018-01,0.004779690595170271,0.00264224609569272,0.0027193016518465385
2018-02,-0.021087041766526156,0.004799315446478957,0.004545158425994524
2018-03,0.00704315697147635,0.00562736205034654,0.005594298069621698
2018-04,-0.02003996544462178,0.005831321581214719,0.0058847713898247
2018-05,-0.006128473091033263,0.004766723660161565,0.0047400583277231526
2018-06,-0.05411635610074473,0.004247617695211702,0.00452340329935201
2018-07,0.0004275597438749461,0.005856320954558251,0.00586905539034358
2018-08,-0.042203171274678965,0.000982695070061733,0.00108163326623205
2018-09,0.0037334703998639683,0.00193283111738049,0.00193283111738049
2018-10,-0.059201832744025795,0.004319512092836565,0.00431951209283658
2018-11,0.02074797727324123,0.006297677380573243,0.00629928775098715
2018-12,-0.026163014644230088,0.006758977607779248,0.0070423368778614335
2019-01,0.012949993306673752,0.006923123988241646,0.006369126805560344
2019-02,0.11529944786020369,0.003671587021061519,0.003512287451034245
2019-03,0.05510351393287728,0.0037964408767612993,0.0043854758087999044
2019-04,-0.015912825473448758,8.216691917875103e-05,0.00015955176888753065
2019-05,-0.039256267902940394,0.0022498485752482818,0.0014997688669674445
2019-06,0.013890179341673782,0.004927439539157757,0.005093197867521567
2019-07,-0.003817360558799892,0.004076206358999374,0.004064816829978146
2019-08,-0.0006213053074552423,0.005360228775045455,0.005262608520379724
2019-09,0.005741488536041498,0.0031634197463189188,0.0031657155537932824
2019-10,0.00341529960406616,0.0015195366738925502,0.001606897622013983
2019-11,-0.006200970525692354,0.003671678629439433,0.0035738622350548945
2019-12,0.048686913639854494,0.005252020247929418,0.005200854056450608
2020-01,0.006728886322957834,0.004579204131298244,0.004447623760870777
2020-02,0.00983145019558969,0.006928282097603048,0.006868800318454277
2020-03,-0.03928383969887614,0.00960651830423703,0.009535860127531336
2020-04,0.03861020199644663,0.008577506534620591,0.00856602578416601
2020-05,0.0023071252507842746,-0.000296148815136035,-0.0009715815345457069
