target_return,volatility,weight_000012,weight_000852,weight_000905,weight_399300,weight_H11001
-0.001164151368507782,0.21843481354012165,1.0,0.9370743957726717,-0.9999999999999996,0.9999999999999997,-0.9370743957726725
0.00011687547158479596,0.21182741227326005,0.9999999999999992,0.9180761647090818,-0.9999999999999993,0.9921276121223999,-0.9102037762211017
0.001397902311677374,0.20523548313906337,0.9999999999999996,0.9089178354947614,-0.9999999999999996,0.9714095349589802,-0.8803273704537415
0.0026789291517699517,0.1986539680200008,0.9999999999999996,0.8990570906891654,-1.0,0.951608440489501,-0.8506655311786656
0.00395995599186253,0.19208325969416562,0.9999999999999999,0.8923582084568589,-1.0,0.927679631803047,-0.8200378402599056
0.005240982831955108,0.18552527133930644,0.9999999999999998,0.8818262952292129,-1.0,0.9087547270520019,-0.7905810222812144
0.006522009672047685,0.1789810905227561,1.0,0.8731137979884915,-1.0,0.887454631309343,-0.7605684292978344
0.0078030365121402635,0.17245235142854196,1.0,0.8639609442788339,-0.9999999999999996,0.8667294064250459,-0.7306903507038803
0.009084063352232842,0.16594083952497993,1.0,0.8546359089348867,-1.0,0.8462289604467061,-0.7008648693815929
0.01036509019232542,0.15944866557367676,1.0,0.8457421499645004,-1.0,0.8251654960248958,-0.6709076459893961
0.011646117032417998,0.15297828499223118,1.0,0.8365289484162365,-1.0,0.8045190543559716,-0.6410480027722079
0.012927143872510576,0.14653300626084365,1.0,0.825259362549318,-1.0,0.7865571560687166,-0.6118165186180349
0.014208170712603153,0.1401149740041366,1.0,0.8178997600685515,-0.9999999999999998,0.7634908981760673,-0.581390658244619
0.015489197552695733,0.13372950287172589,0.9999999999999997,0.808522299595333,-0.9999999999999998,0.7430588897027498,-0.5515811892980826
0.01677022439278831,0.1273809988043821,1.0,0.7993202006522974,-0.9999999999999996,0.722397954708533,-0.5217181553608309
0.01805125123288089,0.12107531223728135,1.0,0.7906317071680316,-0.9999999999999999,0.7010665219822284,-0.4916982291502603
0.019332278072973465,0.11481938905879739,1.0,0.7809672277522727,-1.0,0.6810092090910373,-0.4619764368433101
0.020613304913066042,0.1086180531965848,1.0,0.7600295804198206,-0.9810895727514579,0.6550764684964402,-0.43401647616480293
0.021894331753158622,0.10243256019244604,1.0,0.7201002427517552,-0.9310832457397645,0.6200754207210999,-0.4090924177330906
0.023175358593251198,0.09624954269996945,1.0,0.6734639256984147,-0.8713273765820968,0.5832135257118364,-0.3853500748281546
0.024456385433343778,0.0900708927240201,1.0,0.6312109749712643,-0.8175513040396385,0.5471408817441497,-0.3608005526757755
0.025737412273436355,0.08389668031549916,1.0,0.5867188058918584,-0.7597504290000181,0.5096087244481454,-0.33657710133998575
0.027018439113528935,0.07772853783294432,1.0,0.5428760564492572,-0.7037779524162877,0.4732197760799373,-0.3123178801129069
0.02829946595362151,0.07156777389697391,1.0,0.4984937639642174,-0.6465929877249234,0.4362148648741849,-0.28811564111347926
0.029580492793714087,0.06541657110765968,0.9999999999999999,0.4548019102393077,-0.5906941752642498,0.39970914117087836,-0.26381687614593624
0.030861519633806664,0.0592780626989551,0.9999999999999999,0.4108167207105742,-0.5356038164086776,0.36446671003580483,-0.23967961433770132
0.03214254647389925,0.053156285282685234,0.9999999999999999,0.3666032380559338,-0.4791885100992962,0.3280795302277629,-0.21549425818440018
0.033423573313991824,0.04705756699930611,1.0,0.324227473369955,-0.4226389424092319,0.2891470639078942,-0.19073559486861721
0.0347046001540844,0.04099399831597152,1.0,0.2850754964392659,-0.3748816348265718,0.25558022972131733,-0.1657740913340115
