target_return,volatility,weight_HSREIT,weight_GOLD,weight_HSI,weight_SPX,weight_000012,weight_000852,weight_000905,weight_399300,weight_H11001
-0.07523004625007834,0.11361962636393191,0.5741708548010163,-0.31153866963688825,-0.1371842635655508,-0.5838762390730727,0.9999999999999999,0.13166514784459762,-0.13465647910770318,0.14202572768725957,0.31939392105034153
-0.07147591712597674,0.11003551179182781,0.5558292396363953,-0.3019870732891275,-0.13217109180031975,-0.5649902486333382,0.9999999999999999,0.12880944733326288,-0.13207276869906687,0.13727624958240148,0.3093062458697929
-0.06772178800187516,0.10645231113043704,0.537442666950919,-0.29243754017837487,-0.12710411156235993,-0.546100920174006,1.0,0.12608613607667227,-0.12966882481029504,0.1326053598167321,0.29917723388071266
-0.06396765887777356,0.10287010757540771,0.5190257877143248,-0.2828957223935934,-0.1220191739517441,-0.5271995005425163,1.0,0.12354123913611759,-0.1275548943427863,0.1280939086386733,0.2890083557415244
-0.060213529753671974,0.09928948568528898,0.5001538054711822,-0.27320071388475564,-0.11589228174283508,-0.5081334988094895,1.0,0.12067939384388793,-0.12557101501703202,0.12426024440001109,0.27770406573903117
-0.056459400629570375,0.09570947048165153,0.4819715153797119,-0.26362287387617084,-0.11136290211850336,-0.4891986786085447,0.9999999999999999,0.11867416542684076,-0.12446660567620163,0.12042381955669147,0.2675815599161767
-0.05270527150546879,0.09213098307367278,0.46378503604825305,-0.25403774416588126,-0.10687197487135387,-0.47023966880725787,0.9999999999999999,0.11678813047974562,-0.12363122084087509,0.11684862896963467,0.2573588131877348
-0.04895114238136719,0.08855422143273846,0.4456345646296279,-0.24442254861609997,-0.10249020882215093,-0.4512554115182993,0.9999999999999999,0.11497147989313529,-0.12303862473798613,0.113589274035331,0.24701147513644237
-0.045197013257265606,0.08497941347021908,0.4275535946886004,-0.23475711656126166,-0.0982746031353683,-0.43225016301837715,1.0,0.11315546543928771,-0.1226061103480945,0.1106507168837416,0.23652821605147176
-0.04144288413316401,0.08140731981292483,0.40921350305478854,-0.22480017763136187,-0.0928321769829072,-0.412868727233637,0.9999999999999999,0.11128608088400416,-0.1227256228717379,0.10805016238306425,0.22467695839778698
-0.037688755009062415,0.07783712984971423,0.39149183384184305,-0.2149413086308391,-0.08938939284481519,-0.3938436209279685,1.0,0.1092894430213047,-0.12239638626129638,0.10586433537925187,0.21392509642251928
-0.03393462588496082,0.07426982878318351,0.3737856215366131,-0.20506708248185337,-0.0860129625432212,-0.37482745411399954,0.9999999999999999,0.10713700898514204,-0.12191954584005192,0.10378719049907725,0.20311722395829357
-0.03018049676085923,0.07070578242278573,0.35607396970621485,-0.19520007143172194,-0.08269760301922988,-0.3558452160805829,1.0,0.10479264270250652,-0.1212348529148769,0.10179410294016311,0.19231702809752702
-0.02642636763675764,0.06714527665813505,0.3384172439847475,-0.18538383640498982,-0.07941926055767026,-0.33679019956318734,0.9999999999999998,0.10222429055780445,-0.12010454896172588,0.09955069571236448,0.18150561523265718
-0.022672238512656047,0.06358886977539256,0.3206230308132797,-0.17552448994762027,-0.07623519591129127,-0.3181356746537017,1.0,0.09975897508526581,-0.11872528341540987,0.0969288610720747,0.17130977695740277
-0.018918109388554455,0.060038150802893035,0.3027362801007362,-0.16638259956380275,-0.07260807987238076,-0.298887620569666,1.0,0.09708775057578964,-0.1180386474776766,0.09498977521727556,0.16110314158972475
-0.015163980264452863,0.05647650126228418,0.2848424819040906,-0.15472815214062136,-0.06607635630030533,-0.2811585716075773,0.9999999999999999,0.07538283264367396,-0.08516467593126692,0.07844408998255738,0.1484583514494492
