,weight
HSREIT,8.244454639840602e-13
GOLD,0.010626405920333731
HSI,5.8322025627985e-13
SPX,0.02427627767738856
000012,0.9650973163825537
000852,1.4163629366582027e-12
000905,1.1144388625438515e-12
399300,4.329453778176973e-13
H11001,1.5352547722762664e-11
Tangency Portfolio,0.9999999999999999
